time,open,high,low,close,volume
2025-03-03,28.05,28.25,28.0,28.05,20663700
2025-03-04,28.05,28.05,27.65,27.85,27424100
2025-03-05,27.85,27.9,27.55,27.55,30385500
2025-03-06,27.6,27.95,27.6,27.95,36975600
2025-03-07,28.0,28.1,27.75,28.05,33131200
2025-03-10,28.1,28.2,27.95,27.95,23580500
2025-03-11,27.6,28.15,27.6,28.15,26088500
2025-03-12,28.2,28.2,27.8,27.8,20641600
2025-03-13,27.85,28.05,27.7,27.7,24809400
2025-03-14,27.7,27.85,27.55,27.55,18279900
2025-03-17,27.9,28.15,27.75,27.85,19719700
2025-03-18,27.9,28.05,27.6,27.6,18741700
2025-03-19,27.6,27.6,27.1,27.25,37925600
2025-03-20,27.3,27.45,27.05,27.15,25022500
