time,open,high,low,close,volume
2025-03-03,36.25,36.25,35.6,35.9,3778400
2025-03-04,35.75,35.8,35.15,35.5,5102600
2025-03-05,35.5,36.6,35.5,35.8,2318400
2025-03-06,36.05,36.05,35.5,35.55,1826200
2025-03-07,35.5,35.95,35.4,35.4,3123200
2025-03-10,35.4,35.85,34.8,34.8,4061000
2025-03-11,34.65,34.9,34.1,34.65,3771200
2025-03-12,34.65,35.35,34.25,35.3,2715700
2025-03-13,35.3,35.45,34.9,35.3,2545000
2025-03-14,35.4,35.4,34.95,34.95,1433200
2025-03-17,34.95,35.0,34.45,34.7,2029600
2025-03-18,34.7,35.85,34.4,35.4,5124100
2025-03-19,35.4,36.3,35.4,35.95,6285000
2025-03-20,36.2,36.2,35.55,35.55,2563200
